,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
59,"Product Manager, Risk and Compliance Platform",Gojek,3 weeks ago,103 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Product Management', 'Marketing']","1,001-5,000 employees"
60,Data Scientist (English CV only),Data Arts Xperience,5 days ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
61,Lead Data Scientist Digital Factory,BHP,4 days ago,Be among the first 25 applicants,Associate,"['Construction', 'Oil & Energy', 'Financial Services']",Full-time,Other,"10,001+ employees"
62,Data Engineer,NuWorq,6 days ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Banking', 'Financial Services']",Full-time,Information Technology,
63,Lowongan Business Analyst,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Business Development', 'Sales']",
64,Senior Data Engineer,Machtwatch,1 month ago,Be among the first 25 applicants,Associate,Retail,Full-time,Information Technology,201-500 employees
65,"Operations Analytics Lead, GrabFood",Grab,2 months ago,56 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Information Technology', 'Customer Service']","5,001-10,000 employees"
66,Head of Data Analytics - Agritech,Michael Page,2 months ago,Be among the first 25 applicants,Director,Consumer Goods,Full-time,"['Business Development', 'Sales']","5,001-10,000 employees"
67,Indonesian into English - Patent translations (IT) Remote - Freelancer,Park IP Translations,2 weeks ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
68,Senior Data Engineer,Machtwatch,2 weeks ago,37 applicants,Mid-Senior level,Retail,Full-time,Information Technology,201-500 employees
69,Data Engineer - Bandung,Agate,2 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Computer Games']",Full-time,Information Technology,
70,Specialist Software Engineer - Devops Support,Rakesh negi,1 week ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
71,MicroStrategy Consultant,Tata Consultancy Services,3 weeks ago,97 applicants,Mid-Senior level,Information Technology and Services,Full-time,Information Technology,"10,001+ employees"
72,Forecast and Business Review,PT. XL Axiata Tbk,4 weeks ago,Over 200 applicants,Associate,"['Telecommunications', 'Internet', 'Banking']",Full-time,"['Marketing', 'Analyst', 'Business Development']","1,001-5,000 employees"
73,Data Science Lead,Tokopedia,1 week ago,84 applicants,Mid-Senior level,Internet,Full-time,"['Analyst', 'Science']","1,001-5,000 employees"
74,Community Development,Diacon Technologies,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Other,
75,Software Business Analyst,Avows Technologies,4 days ago,30 applicants,Associate,"['Marketing and Advertising', 'Online Media', 'Public Relations and Communications']",Full-time,"['Business Development', 'Sales']",201-500 employees
76,Consultant - Analytics & Cognitive - ID,Deloitte,3 weeks ago,32 applicants,Associate,"['Management Consulting', 'Information Technology and Services', 'Computer Software']",Full-time,"['Business Development', 'Sales']","10,001+ employees"
77,CDAO - Data Analytics Professionals,General Motors,2 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
78,"Growth Analytics Lead, Financial Services Platform",Go-Jek,4 days ago,Be among the first 25 applicants,Associate,Logistics and Supply Chain,Full-time,Other,
79,Lowongan Technical Writer,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Marketing', 'Public Relations', 'Writing/Editing']",
80,Business Analyst - Accounting,Impactfind,2 weeks ago,83 applicants,Associate,Human Resources,Full-time,Consulting,
81,Lowongan IT Full Stack Developer / IT ODOO Developer,PT Porto Indonesia Sejahtera,6 days ago,Be among the first 25 applicants,Entry level,Electrical/Electronic Manufacturing,Full-time,"['Engineering', 'Information Technology']",
82,"Senior Analyst (Statistical Analyst) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,4 weeks ago,26 applicants,Associate,Internet,Full-time,Information Technology,"1,001-5,000 employees"
83,iOS Engineer - Bandung,Ruangguru,1 day ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
84,Software Engineer - Web Developer (Phyton Django),Xwork.co,1 month ago,Be among the first 25 applicants,Associate,Executive Office,Full-time,"['Information Technology', 'Engineering']",
85,Data Technology and Analyst,Ralali.com,2 weeks ago,Be among the first 25 applicants,Associate,Internet,Full-time,Other,
86,Business Analyst (Internship) - Bandung - Jakarta,"MARKPLUS, INC.",2 weeks ago,Over 200 applicants,Internship,"['Marketing and Advertising', 'Online Media', 'Public Relations and Communications']",Internship,"['Business Development', 'Sales']",201-500 employees
87,Senior Embedded Software Engineer,IDEMIA,2 weeks ago,Be among the first 25 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Information Technology', 'Quality Assurance']","10,001+ employees"
88,Big Data Support Engineer,PT. Metrodata Electronics Tbk.,7 hours ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Computer Networking']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
89,Software Engineer Intern,Payfazz (PT. Payfazz Teknologi Nusantara),3 weeks ago,48 applicants,Internship,"['Information Technology and Services', 'Computer Software', 'Internet']",Internship,"['Education', 'Training']",
90,Data Analyst,Ara Savis Sejahtera PT,6 months ago,103 applicants,Entry level,"['Food Production', 'Food & Beverages']",Full-time,Information Technology,
91,Manager - Infrastructure Lead - ID,Deloitte,5 months ago,171 applicants,Associate,"['Management Consulting', 'Information Technology and Services', 'Computer Software']",Full-time,Information Technology,"10,001+ employees"
92,Reporting and Data Analyst,Kanmo Group,4 days ago,Be among the first 25 applicants,Entry level,Retail,Full-time,Information Technology,
93,Sales Engineer Executive - Trading company,RGF HR Agent,6 months ago,27 applicants,Entry level,"['Construction', 'Consumer Goods', 'Financial Services']",Full-time,"['Sales', 'Business Development']",51-200 employees
