,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
850,Data Engineer (Crawling) Intern,Kecilin,3 weeks ago,Be among the first 25 applicants,Associate,,Internship,"['Information Technology', 'Engineering']",
851,"Manager, Performance Marketing (Bangkok Based, Relocation Provided)",Agoda,3 weeks ago,38 applicants,Associate,Internet,Full-time,"['Consulting', 'Information Technology', 'Sales']","1,001-5,000 employees"
852,Software Engineer - Backend,Traveloka,4 days ago,60 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
853,Software Engineer,Wells Fargo,6 days ago,Be among the first 25 applicants,Associate,"['Financial Services', 'Investment Management', 'Banking']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
854,"Data, Analytics and Visualization Manager",PT. Mastersystem Infotama,1 week ago,157 applicants,Mid-Senior level,Information Technology and Services,Full-time,Information Technology,"501-1,000 employees"
855,BI DEVELOPER,PT 360 Teknologi Indonesia,1 month ago,Be among the first 25 applicants,Mid-Senior level,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
856,Lead Software Engineer,Asumsi,4 days ago,Be among the first 25 applicants,Associate,Media Production,Full-time,"['Engineering', 'Information Technology']",11-50 employees
857,Data Engineer,PT Solman Manunggal Informatika,4 days ago,47 applicants,Entry level,Information Technology and Services,Contract,Information Technology,51-200 employees
858,Data Engineer,PT Katadata Indonesia,2 months ago,35 applicants,Entry level,Management Consulting,Full-time,Information Technology,
859,Software Developer / Software Engineer - South Jakarta,Hacktiv8 Indonesia,5 days ago,28 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Full-time,"['Engineering', 'Information Technology']",51-200 employees
860,Lead - Data Engineer - Jakarta,ndigital,1 week ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,201-500 employees
861,Researcher – Battery Cell Manufacturing – Process Modeling,General Motors,2 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Engineering', 'Information Technology']",
862,System Engineer,Metrocom Jaddi Technology,2 weeks ago,87 applicants,Mid-Senior level,"['Information Technology and Services', 'Electrical/Electronic Manufacturing', 'Logistics and Supply Chain']",Full-time,"['Information Technology', 'Consulting', 'Research']",11-50 employees
863,Senior Software Engineer - Cards,Xendit,2 months ago,Be among the first 25 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
864,Data Engineer Officer,Fore Coffee,3 weeks ago,82 applicants,Entry level,"['Information Technology and Services', 'Market Research', 'Computer Software']",Full-time,Information Technology,51-200 employees
865,Data Engineer - Jakarta,PT Koltiva,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
866,Software Business Analyst,Avows Technologies,4 days ago,30 applicants,Associate,"['Marketing and Advertising', 'Online Media', 'Public Relations and Communications']",Full-time,"['Business Development', 'Sales']",201-500 employees
867,Data Analyst,Sinarmas Agribusiness and Food,1 month ago,124 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Research']",Full-time,Information Technology,
868,"Senior Manager, Global Marketing Innovation and Analytics (Bangkok-based, relocation provided)",Agoda,3 weeks ago,Be among the first 25 applicants,Associate,Internet,Full-time,"['Product Management', 'Marketing']","1,001-5,000 employees"
869,Lowongan Software Engineer - Tibco,PT Lintas Teknologi Indonesia,2 weeks ago,Be among the first 25 applicants,Entry level,Telecommunications,Full-time,"['Engineering', 'Information Technology']",
870,Lowongan Senior Data Engineer,PT SehatQ Harsana Emedika,3 days ago,Be among the first 25 applicants,Associate,"['Pharmaceuticals', 'Medical Practice']",Full-time,Information Technology,
871,Account Manager,RGF HR Agent,4 weeks ago,49 applicants,Entry level,"['Construction', 'Consumer Goods', 'Financial Services']",Full-time,"['Sales', 'Business Development']",51-200 employees
872,Growth & Strategy Analyst,Nimbly Technologies,2 months ago,77 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",
873,Software Engineer,BBC News,1 week ago,147 applicants,Associate,Broadcast Media,Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
874,Business Analyst Regulatory Banking,NTT INDONESIA DIGITAL BUSINESS SOLUTIONS,3 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,"['Business Development', 'Sales']",
875,Software Engineer - BackEnd,Sinbad,2 weeks ago,Be among the first 25 applicants,Mid-Senior level,Logistics and Supply Chain,Full-time,"['Information Technology', 'Engineering']",51-200 employees
876,Data Infrastructure Engineer,PT. Yuinsight Technologies International,4 weeks ago,138 applicants,Mid-Senior level,"['Information Technology and Services', 'Banking', 'Financial Services']",Full-time,Information Technology,"10,001+ employees"
877,Automated Driving HMI Software Engineer - General Motors,General Motors,2 days ago,Be among the first 25 applicants,Entry level,,Full-time,"['Management', 'Manufacturing']",
878,Digital Analyst & Engagement Performance,MPM Group (PT Mitra Pinasthika Mustika Tbk),4 days ago,Over 200 applicants,Associate,Automotive,Full-time,"['Marketing', 'Analyst', 'Strategy/Planning']","5,001-10,000 employees"
879,Lead Cybersecurity Consultant (Cloud and Cyber Security) - Jakarta,Horangi Cyber Security,3 days ago,Be among the first 25 applicants,Executive,"['Computer & Network Security', 'Information Technology and Services', 'Computer Software']",Full-time,"['Information Technology', 'Consulting', 'Engineering']",51-200 employees
880,Software Engineer - Backend,Mitramas Infosys Global,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
881,Researcher – Battery Cell Manufacturing Quality Verification Systems,General Motors,2 days ago,Be among the first 25 applicants,Associate,,Full-time,"['Engineering', 'Information Technology']",
882,"HEAD OF GROWTH SEO, CLV, CRM",Lamudi,4 days ago,Be among the first 25 applicants,Director,Marketing and Advertising,Full-time,Other,201-500 employees
883,Operations Support Analyst,Citi,2 weeks ago,154 applicants,Not Applicable,"['Banking', 'Financial Services', 'Investment Banking']",Full-time,Information Technology,"10,001+ employees"
884,Data Analyst / BI - Fintech,Michael Page,2 months ago,99 applicants,Associate,Financial Services,Full-time,Information Technology,"5,001-10,000 employees"
885,Software Engineer - React Native,Debaede,3 days ago,Be among the first 25 applicants,Entry level,Cosmetics,Full-time,"['Engineering', 'Information Technology']",2-10 employees
886,Business Analyst (Data Analyst),Glints,2 months ago,Over 200 applicants,Mid-Senior level,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",201-500 employees
887,"Business Development Lead, - Digital Intelligence - APAC",NielsenIQ,1 week ago,85 applicants,Director,"['Marketing and Advertising', 'Retail', 'Financial Services']",Full-time,Research,"10,001+ employees"
888,Data Engineer (Kasir Pintar - Surabaya) - Payfazz (PT. Payfazz Teknologi Nusantara),Payfazz (PT. Payfazz Teknologi Nusantara),1 day ago,Be among the first 25 applicants,Entry level,"['Internet', 'Banking', 'Financial Services']",Full-time,Information Technology,
889,Backend Developer,PT Perintis Teknologi Nusantara,3 weeks ago,Be among the first 25 applicants,Entry level,,Full-time,"['Engineering', 'Information Technology']",
890,Senior Enterprise Java Developer - APAC - Agiloft,Agiloft,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Information Services']",Full-time,"['Engineering', 'Information Technology']",
891,Software Engineer (Back End),GTech Digital Asia,3 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
892,"Manager/Senior Manager, Customer Relationship Management (CRM) (Bangkok based, relocation provided)",Agoda,3 weeks ago,81 applicants,Associate,Internet,Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
893,Integrations Developer - Salesforce - APAC-based,Agiloft,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Information Services']",Full-time,"['Engineering', 'Information Technology']",
894,Data Engineering Consultant,Avalon Solutions,4 days ago,Be among the first 25 applicants,Associate,Warehousing,Full-time,"['Engineering', 'Information Technology']",
895,Business Development Head,Michael Page,5 months ago,91 applicants,Director,"['Events Services', 'Financial Services', 'Facilities Services']",Full-time,"['Business Development', 'Sales']","5,001-10,000 employees"
896,Data Scientist Intern - Jakarta,Mekari (PT. Mid Solusi Nusantara),4 days ago,Be among the first 25 applicants,Internship,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
897,Data Analyst,The Body Shop Indonesia,2 hours ago,Be among the first 25 applicants,Entry level,Retail,Full-time,Information Technology,"1,001-5,000 employees"
898,Business Intelligence Analyst,99.co,1 month ago,28 applicants,Director,Real Estate,Full-time,Information Technology,
899,Lowongan Oracle EBS Consultant,PT Nityo Infotech,4 days ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,Information Technology,
900,"Analyst (Business Intelligence) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,5 days ago,40 applicants,Associate,Internet,Full-time,"['Business Development', 'Sales']","1,001-5,000 employees"
901,"DMPS Lead, GrabMart",Grab,5 days ago,Be among the first 25 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Public Relations', 'Marketing', 'Information Technology']","5,001-10,000 employees"
902,Software Engineer,Wells Fargo,6 days ago,Be among the first 25 applicants,Associate,"['Financial Services', 'Investment Management', 'Banking']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
903,Cloud Solution Architect - Apps & Infra,Microsoft,4 days ago,Be among the first 25 applicants,Associate,Human Resources,Full-time,"['Engineering', 'Information Technology']",
904,Senior Software Engineer,EMEW Labs Pte.Ltd Singapore,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
905,Software Engineer Manager,Pt. Trawlbens Teknologi Anak Indonesia,1 month ago,Be among the first 25 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software', 'Media Production']",Full-time,Production,
906,Lead Cybersecurity Consultant (Cloud and Architecture) - Jakarta,Horangi Cyber Security,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer & Network Security', 'Management Consulting']",Full-time,Other,51-200 employees
907,Ms Engineer (L1),NTT,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']",
908,"Data Management and Analysis Specialist, Monitoring, Evaluation and Learning (MEL) Platform for USAID/Indonesia, Jakarta, Indonesia",Management Systems International,5 months ago,98 applicants,Entry level,"['Information Technology and Services', 'Nonprofit Organization Management', 'Financial Services']",Full-time,Information Technology,"501-1,000 employees"
909,Business Intelligence Analyst,Pt Bukalapak.Com,4 days ago,Be among the first 25 applicants,Associate,Warehousing,Full-time,"['Business Development', 'Sales']",
910,Business Intelligence Consultant Team Lead - Consulting,RGF HR Agent,6 months ago,Be among the first 25 applicants,Associate,"['Construction', 'Consumer Goods', 'Financial Services']",Full-time,"['Business Development', 'Sales']",51-200 employees
911,Waliku MEAL & Data Science Consultant LEARNING NEVER STOPS,Save The Children,2 days ago,Be among the first 25 applicants,Associate,Hospitality,Full-time,Information Technology,
912,Senior Data Analyst,Rukita,3 weeks ago,30 applicants,Associate,"['Internet', 'Financial Services', 'Real Estate']",Full-time,Information Technology,
913,Data Scientist,Pt. Cudo Communications,4 weeks ago,34 applicants,Associate,Information Technology and Services,Full-time,Information Technology,
914,Data Engineer,Gramedia e-Perpust,3 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
915,Data Science Curriculum Developer & Instructor,Hacktiv8 Indonesia,1 month ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Full-time,"['Education', 'Training']",51-200 employees
916,System Business Analyst,PT Rekeningku Dotcom Indonesia,19 hours ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Business Development', 'Sales']",
917,Tax Specialist - Jakarta,Bibit,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,"['Accounting/Auditing', 'Finance']",
918,Software Engineer (MOBILE),PT Solusi Layanan Digital - Wehelpyou,2 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",
919,Software Engineer - Disbursement,Xendit,5 months ago,34 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
920,Product Manager,Halodoc ID,3 weeks ago,79 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Product Management', 'Marketing']",201-500 employees
921,Senior Data Scientist,PT. Sarimelati Kencana Tbk.,4 weeks ago,170 applicants,Mid-Senior level,Restaurants,Contract,"['Engineering', 'Information Technology']","5,001-10,000 employees"
922,"Growth Analytics Lead, Financial Services Platform",Gojek,3 weeks ago,93 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Other,"1,001-5,000 employees"
923,Senior Associate Business Analyst,NTT Ltd.,3 weeks ago,64 applicants,Associate,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,"['Business Development', 'Sales']","10,001+ employees"
924,Data & Analytics Consultant,Amazon Web Services (AWS),5 days ago,35 applicants,Not Applicable,"['Computer Software', 'Information Technology and Services', 'Internet']",Full-time,"['Consulting', 'Information Technology', 'Engineering']","10,001+ employees"
925,Data Science,PT Astra Graphia Information Technology,2 weeks ago,44 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Information Services']",Full-time,"['Engineering', 'Information Technology']",
926,Senior Data Analyst,ITB Career Center,2 months ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Retail']",Full-time,Information Technology,11-50 employees
927,Senior Software Engineer - Jakarta,EMEW Labs Pte.Ltd Singapore,1 day ago,Be among the first 25 applicants,Associate,,Full-time,"['Engineering', 'Information Technology']",
928,Software Engineer (SEO),Glints,1 month ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",201-500 employees
929,Talent Acquisition Partner - Global Business Solutions - Jakarta,TikTok,3 weeks ago,Over 200 applicants,Mid-Senior level,Internet,Full-time,Human Resources,"5,001-10,000 employees"
930,Director - SAP - ID,Deloitte,2 months ago,Be among the first 25 applicants,Director,"['Management Consulting', 'Information Technology and Services', 'Computer Software']",Full-time,Information Technology,"10,001+ employees"
931,Sales Manager - BMH,Thermo Fisher Scientific,1 week ago,Be among the first 25 applicants,Entry level,"['Computer Software', 'Research', 'Biotechnology']",Full-time,"['Sales', 'Business Development']","10,001+ employees"
932,Data Engineer,99.co,1 month ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,Information Technology,
933,Asset Management System Monitoring Specialist,PT BFI Finance Indonesia Tbk,2 months ago,45 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Finance', 'Sales']",
934,Software Engineer,Pt Daya Rekadigital Indonesia,4 months ago,Be among the first 25 applicants,Not Applicable,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
935,BUSINESS INTELLIGENCE ANALYST - Sayurbox,Sayurbox,1 week ago,85 applicants,Associate,"['Computer Software', 'Internet', 'Consumer Goods']",Full-time,"['Business Development', 'Sales']",201-500 employees
936,Internship Program : UX Researcher,Mekari (Pt. Mid Solusi Nusantara),19 hours ago,Be among the first 25 applicants,Internship,Hospitality,Full-time,Information Technology,
937,Data Engineer Officer,Fore Coffee,3 weeks ago,82 applicants,Entry level,"['Information Technology and Services', 'Market Research', 'Computer Software']",Full-time,Information Technology,51-200 employees
938,Software Engineer,Forky.id,1 day ago,Be among the first 25 applicants,Entry level,,Internship,"['Engineering', 'Information Technology']",
939,Lowongan IT Infrastruktur,PT Porto Indonesia Sejahtera,6 days ago,Be among the first 25 applicants,Associate,Electrical/Electronic Manufacturing,Full-time,Information Technology,
940,Senior Software Engineer,JULO,19 hours ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
941,Data Engineer (Data Application Development Team),JD .ID (PT Ritel Bersama Nasional),2 months ago,Be among the first 25 applicants,Entry level,Retail,Full-time,Information Technology,
942,Data Analyst - Jakarta,NuWorq,4 days ago,Be among the first 25 applicants,Entry level,,Full-time,Information Technology,
943,IT/ERP System Engineer (Automotive Bakground),Michael Page,2 weeks ago,Be among the first 25 applicants,Associate,"['Telecommunications', 'Biotechnology', 'Information Technology and Services']",Full-time,Information Technology,"5,001-10,000 employees"
944,Data Engineering Lecturer,Purwadhika Digital Technology School,3 weeks ago,Be among the first 25 applicants,Not Applicable,Education Management,Contract,Information Technology,
945,Senior Data Engineer,Mekari (PT. Mid Solusi Nusantara),3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
946,Data Analyst - Depok,iGrow,1 day ago,51 applicants,Entry level,,Full-time,Information Technology,
947,Senior Software Engineer,M+ Software,3 weeks ago,Be among the first 25 applicants,Associate,Computer Software,Full-time,"['Engineering', 'Information Technology']",11-50 employees
948,MS Engineer (L2),NTT Ltd.,3 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
949,Senior Software Engineer,Kasual,2 months ago,Be among the first 25 applicants,Mid-Senior level,Apparel & Fashion,Full-time,"['Information Technology', 'Engineering']",
950,Software Engineer (SEO),Glints,2 months ago,53 applicants,Mid-Senior level,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
951,"Data Analyst (Bangkok Based, relocation provided)",Agoda,4 weeks ago,Over 200 applicants,Associate,Internet,Full-time,Information Technology,"1,001-5,000 employees"
952,Senior Software Engineer (Merchant Platform),Go-Jek,4 days ago,Be among the first 25 applicants,Associate,Hospitality,Full-time,"['Engineering', 'Information Technology']",
953,Data Analyst,Payfazz (PT. Payfazz Teknologi Nusantara),4 weeks ago,62 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
954,Senior Associate Business Analyst - Central Jakarta,NTT,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,"['Business Development', 'Sales']",
955,Data Engineer and Analytics,FinAccel,2 months ago,27 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,51-200 employees
956,Mechanical Engineer,Rgf Hr Agent,4 days ago,Be among the first 25 applicants,Entry level,Construction,Full-time,"['Engineering', 'Information Technology']",
957,Business Analyst,Lacak.io,1 month ago,59 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",
958,System Integration Developer,Youtap Indonesia,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
959,"Senior Manager, Paid Social (Bangkok based, relocation provided)",Agoda,3 weeks ago,Be among the first 25 applicants,Associate,Internet,Full-time,Information Technology,"1,001-5,000 employees"
960,Software Engineer - XenCapital,Xendit,4 weeks ago,33 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
961,Senior Software Engineer - Back End,DKATALIS (Digital Katalis),3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
962,ITAPD - Programmer - ETL,Pt Bank Mandiri (Persero) Tbk.,4 days ago,Be among the first 25 applicants,Entry level,Warehousing,Full-time,"['Engineering', 'Information Technology']",
963,Data Scientist Manager,PT. Astra Welab Digital Arta,4 weeks ago,Be among the first 25 applicants,Mid-Senior level,"['Information Technology and Services', 'Banking', 'Financial Services']",Full-time,Other,
964,System Engineer - Jakarta,PT Multipolar Technology Tbk,1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,Information Technology,201-500 employees
965,Lowongan Data Analyst Staff,PT Porto Indonesia Sejahtera,6 days ago,44 applicants,Entry level,Electrical/Electronic Manufacturing,Full-time,Information Technology,
966,Software Engineer - Backend (Location Platform - Discovery),Traveloka,5 months ago,75 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
967,Project Manager- Financial Industry,RGF HR Agent,6 months ago,Be among the first 25 applicants,Entry level,"['Construction', 'Consumer Goods', 'Financial Services']",Full-time,"['Project Management', 'Information Technology']",51-200 employees
968,Data & Tech Support Staff,Halodoc ID,2 weeks ago,32 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,201-500 employees
969,"Presales Support Data Scientist - PT. Metrodata Electronics, Tbk",PT. Metrodata Electronics Tbk.,8 hours ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Computer Networking']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
970,"DATA ENGINEER , DUBAI OR REMOTE",Cobblestone Energy,3 months ago,67 applicants,Entry level,"['Computer Software', 'Staffing and Recruiting', 'Financial Services']",Full-time,Information Technology,11-50 employees
971,Senior UX Researcher,TADA,3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
972,SENIOR DATA ENGINEER,Sayurbox,2 months ago,33 applicants,Mid-Senior level,"['Computer Software', 'Internet', 'Consumer Goods']",Full-time,Information Technology,201-500 employees
973,Data Engineer,PT Katadata Indonesia,2 months ago,35 applicants,Entry level,Management Consulting,Full-time,Information Technology,
974,Software Engineer – Backend,GudangAda,4 weeks ago,Over 200 applicants,Mid-Senior level,"['Internet', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
975,System Engineer,PT NUSA INTI SATU ARTHA (DOKU),1 month ago,Be among the first 25 applicants,Mid-Senior level,Financial Services,Full-time,Engineering,
976,Software Engineer (Backend),Traveloka,3 months ago,135 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
977,Software Engineer,PT. Himalaya Everest Jaya,2 months ago,69 applicants,Entry level,Electrical/Electronic Manufacturing,Full-time,"['Engineering', 'Information Technology']",201-500 employees
978,AI Engineer,PT DJARUM,2 weeks ago,Over 200 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,"10,001+ employees"
979,Data Engineer,iSeller,3 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
980,Business Analyst,Sagara Technology Group,4 weeks ago,78 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",
981,Data Engineer KG Media,NRI (Nomura Research Institute),4 weeks ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Internet']",Contract,Information Technology,"10,001+ employees"
982,"Lead Data Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)",Agoda,4 weeks ago,25 applicants,Mid-Senior level,Internet,Full-time,Information Technology,"1,001-5,000 employees"
983,Data Engineer,ITB Career Center,2 weeks ago,51 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Retail']",Full-time,Information Technology,11-50 employees
984,Statistician,PT. Timur Adi Raya,2 weeks ago,Be among the first 25 applicants,Associate,,Contract,"['Research', 'Analyst', 'Information Technology']",
985,Software Quality Analyst (SQA) - Game,Shopee,4 months ago,Over 200 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Internet']",Full-time,Quality Assurance,"5,001-10,000 employees"
986,System Engineer - IT Industry,RGF HR Agent,6 months ago,49 applicants,Entry level,"['Construction', 'Consumer Goods', 'Financial Services']",Full-time,Information Technology,51-200 employees
987,Data Engineer,PT Bank Jago Tbk,1 month ago,152 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,201-500 employees
988,Software Engineer - Backend (Accommodation Search),Traveloka,2 months ago,43 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
989,Data Engineer,J-Express,3 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Full-time,Information Technology,
990,"Senior Software Engineer, Backend",Grab,3 weeks ago,94 applicants,Mid-Senior level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Information Technology', 'Product Management', 'Engineering']","5,001-10,000 employees"
991,Software Engineer (Marketing Technology),Traveloka,4 days ago,Be among the first 25 applicants,Entry level,Marketing and Advertising,Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
992,Team Staff- Financial Industry,RGF HR Agent,6 months ago,37 applicants,Associate,"['Construction', 'Consumer Goods', 'Financial Services']",Full-time,"['Finance', 'Sales']",51-200 employees
993,Senior Data Scientist (Machine Learning),Michael Page,4 weeks ago,Be among the first 25 applicants,Associate,Financial Services,Full-time,Other,"5,001-10,000 employees"
994,System Business Analyst,Medion Group,2 weeks ago,85 applicants,Associate,"['Electrical/Electronic Manufacturing', 'Industrial Automation', 'Mechanical or Industrial Engineering']",Full-time,"['Business Development', 'Sales']",
995,"Senior Manager, Performance Marketing (Bangkok Based, Relocation Provided)",Agoda,3 weeks ago,Be among the first 25 applicants,Associate,Internet,Full-time,"['Consulting', 'Information Technology', 'Sales']","1,001-5,000 employees"
996,Data Scientist,Ruangguru.com,1 month ago,105 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
997,Business Intelligence Analyst,Cermati.com,1 month ago,154 applicants,Associate,"['Information Technology and Services', 'Internet', 'Financial Services']",Contract,"['Business Development', 'Sales']",201-500 employees
998,Business Analyst - IT - Accounting,PT Astra Graphia Information Technology,3 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Information Services']",Full-time,"['Business Development', 'Sales']",
999,Data Engineer,Monroe Consulting Group,6 days ago,125 applicants,Associate,"['Staffing and Recruiting', 'Financial Services']",Full-time,"['Finance', 'Engineering']",51-200 employees
1000,Data Engineer,PT Astra Graphia Information Technology,1 month ago,25 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,
1001,Software Engineer,Mekari (PT. Mid Solusi Nusantara),2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
1002,Software Engineer,Pt Putra Mandiri Informatika,3 weeks ago,Be among the first 25 applicants,Associate,,Full-time,"['Information Technology', 'Engineering']",
1003,Sales Engineer (IPT),Gates Corporation,3 weeks ago,88 applicants,Not Applicable,"['Automotive', 'Oil & Energy', 'Transportation/Trucking/Railroad']",Full-time,"['Sales', 'Business Development']","10,001+ employees"
1004,Senior Database Engineer (Merchant Payment),Gojek,3 weeks ago,35 applicants,Associate,"['Computer Software', 'Internet', 'Financial Services']",Full-time,Information Technology,"1,001-5,000 employees"
1005,Lead Data Engineer,99.co,2 months ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,Information Technology,
