Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
435,Team Leader- Financial Industry,RGF HR Agent,Posted 5 months ago,12 applicants,51-200 employees,Associate,Full-time,"['Finance', 'Sales']","['Construction', 'Consumer Goods', 'Financial Services']"
436,Liabilities and Payment Compliance Specialist,Traveloka,Posted 2 weeks ago,65 applicants,"1,001-5,000 employees",Associate,Full-time,"['Finance', 'Sales']","['Information Technology & Services', 'Computer Software', 'Financial Services']"
437,Sr. Data Scientist / Marketing Analytics - Telco,Michael Page,Posted 4 months ago,5 applicants,"5,001-10,000 employees",Associate,Full-time,Other,"['Telecommunications', 'Biotechnology', 'Information Technology & Services']"
438,Data Scientist,"Pt Bank Mega, Tbk",Posted 5 days ago,5 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",Warehousing
439,Principal Machine Learning Engineer (AI Solution Architect),Michael Page,Posted 5 months ago,1 applicant,"5,001-10,000 employees",Associate,Full-time,"['Engineering', 'Information Technology']","Leisure, Travel & Tourism"
440,Data Scientist,Umma ID,Posted 1 week ago,26 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Internet']"
441,Data Engineer,PT Solman Manunggal Informatika,Posted 4 days ago,6 applicants,,Associate,Full-time,Information Technology,Information Technology & Services
442,Data Scientist,Moslem Community Application,Posted 5 days ago,7 applicants,,Mid-Senior level,Full-time,Information Technology,Online Media
443,Data Science,PT Astra Graphia Information Technology,Posted 2 weeks ago,44 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Computer & Network Security']"
444,Data Scientist (English CV only),Data Arts Xperience,Posted 6 days ago,15 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Marketing & Advertising', 'Online Media', 'Internet']"
445,Data Scientist,Katalis Insight,Posted 3 weeks ago,31 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']","['Information Technology & Services', 'Computer Software', 'Internet']"
446,Data Engineer and Analytics,Finaccel,Posted 5 days ago,0 applicants,,Entry level,Full-time,Information Technology,Warehousing
447,Data Scientist - Jakarta,FNA,Posted 1 week ago,8 applicants,,Entry level,Full-time,"['Engineering', 'Information Technology']",
